"","title","news_summary"
"1","A Leaky Supreme Court Starts to Resemble the Other Branches","After a Supreme Court draft opinion put a spotlight on the issue, the vote showed that a Senate majority to support legal abortion nationwide does not exist.
"
"2","U.S. Inflation Is Still Climbing Rapidly","All Republicans voted no, as did Senator Joe Manchin, a Democrat. But Democrats hoped the high-profile failure would help them at the polls in November."
"3","Economic Toll of War in Ukraine Tests Western Unity","The disclosure of a draft opinion on Roe v. Wade, legal experts said, was evidence that the court is not much different from other Washington institutions."
"4","In the Trenches of Eastern Ukraine, Combat Becomes a Vicious Dance","Annual inflation moderated for the first time in months in April, but the Consumer Price Index still increased 8.3 percent, an uncomfortably rapid pace."
"5","North Korea Reports Its First Covid Cases","President Vladimir Putin may be calculating that European and American leaders will tire of the protracted struggle before he does. Follow updates."
"6","John Eastman Pressed Pennsylvania Legislator to Throw Out Biden Votes","In some villages along the front, Ukrainian and Russian soldiers face off at close quarters, sometimes within eyesight of one another."
"7","Surfside Condo Collapse Victims Reach $997 Million Settlement","Pyongyang declared a “maximum emergency” and ordered all of the country’s cities and counties to lock down to fight the spread. Get Covid news."
"8","Hard-Liners Gain in Pennsylvania G.O.P. Races, Worrying Both Parties","The lawyer argued that mail ballots in the 2020 election could be culled in a way that would reverse former President Trump’s loss in the state."
"9","In an Uphill Year, Democrats of All Stripes Worry About Electability","The settlement, which includes insurance companies, developers and other defendants, comes nearly a year after the tragedy killed 98 people."
"10","International Reporting: The Times revealed the hidden casualties in thousands of U.S. military airstrikes.","Republican voters in the hotly contested battleground state appeared to rally behind two candidates who amplified former President Trump’s election lies."
"11","His Report of Abuse Drew Ridicule. Years Later, a Jury Listened.","Democratic primaries in coming weeks will point to tensions within the party on how to push effectively for change, while winning elections."
"12","California Can’t Keep Semiautomatic Guns From Young Adults, Court Rules","A diet app helped our magazine writer shed his extra Covid pounds — and reminded him that he was still the same person underneath."
"13","Google Offers a More Modest Vision of the Future","J. Shia, the owner of Madhouse Motors in Boston, repairs and refurbishes vintage bikes. She also creates motorcycle sculptures shown in exhibits."
"14","Los Angeles Mayor’s Path to U.S. Ambassadorship Is Constricting","Here’s what you need to know at the end of the day."
"15",NA,"Revisit a two-part series from “The Daily” about the history of Roe v. Wade and the controversies it ignited."
"16",NA,"In today’s movies, rarely is sex the engine that moves the plot."
"17",NA,"Billy Crystal, Shoshana Bean and performers from Tony-nominated shows will share songs and stories."
"18",NA,"Alex Harrison sued his school district after his high school coach molested him. The case landed him back at the courthouse where he’d first told his story."
"19",NA,"An appeals court panel ruled that the state’s ban on the sale of semiautomatic weapons to adults under the age of 21 violated the Second Amendment."
"20",NA,"Artificial intelligence is being woven into an array of the company’s products. But the change — for now — is subtle."
"21",NA,"Eric Garcetti’s future is unclear after a report determined that he “more likely than not” knew about sexual harassment accusations against an aide."
"22",NA,"It might be that in exposing the waist, designers are also revealing their hope for a bolder and better future."
"23",NA,"Emily Meggett, the keeper of centuries-old culinary traditions in the Carolinas, has spent her life feeding others. At 89, she shares her wisdom."
"24",NA,"A new YouTube reality series, inspired by the ABC franchise, offers willing young singles the chance at a fairy tale ending."
"25",NA,"One hundred years ago this month, the interfaith marriage comedy “Abie’s Irish Rose” kicked off a five-year Broadway run — despite tough critics."
"26",NA,"Brooklyn needs its star to be more than a part-time player, General Manager Sean Marks said, without clearly stating the team wants Irving back."
"27",NA,"How many words can you make with 7 letters?"
"28",NA,"Guess the 5-letter word with 6 chances."
"29",NA,"Get clued in with wordplay, every day."
"30",NA,"Subscribe for full access to Spelling Bee, Wordle, The Crossword and more."
"31",NA,"Create words using letters around the square."
"32",NA,"Match visual elements and keep your chain going."
